"Entry Name,Entry Type,Photo1"
"Иконы,Folder,"
"Авва Герасим 7 1/8 х 9 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_EbZJaJ4CGlyQN_zgUkRjadJ2SgNMoOw6eCu1jSDz_hzyJ3qYxyhZNA=="
"Александра 4 3/8 х 5 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_YUOT_2aoAoBlivtC-Z_eDPjTsbKCtnSFwaXYH07GJ5HJ5g-vteHM4g=="
"Ангел Хранитель 14 3/4 х 19 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_X_YJDeAbHF8yrChkCH7cFUFP3ymoLJG0Go9ja8gC5RN01fre9E09xg=="
"Антипасха 10 х 10,Item,https://lnk.sortly.co/v2/downloads/photo/v2_JJzkZ87erOvqq9qAA9ZgreViP_ppNHNFgAdgcp26vDm_PYnnHyP90Q=="
"Антоний Великий 9 3/8 х 11 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ERT9jGbIGC6cBa1zwgwkaFnDqRrEWcn4ZHvoJ3dFc_NdaVFG9w64JA=="
"Арсений 4 3/8 х 5 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_VEsFKYT6i89oYX6tgWLkvT4RM93O4mOE6QAZVSZM51CQU5TCA8833g=="
"Арх. Михаил + Св. Аликсий + Преп. Марфа 10 х 12 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_1YjStcOkpqJYXs5z90cjZbdw86PqP2l0R2JCRhqPVtdUApK9O0_NKA=="
"Архангел Гавриил 8 3/4 х 10 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_4RB7T8LZIihN0Avu1AJCIT0Z4eruMvP78EF1kGXvbmBCS8FPkRZfSA=="
"Благовещение 12 1/2 х 15,Item,https://lnk.sortly.co/v2/downloads/photo/v2_27PLfzAjTXWS-kL8yIvtqGkFzct8qrwBIHZuty5gkZmtE87vTzKRzA=="
"Благовещение 5 1/4 х 9 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_pOO1nDAOTr_aT62Z4aIw-FTuJHxM1QywBfKVXXHt6Lp3vHEZdRV3OA=="
"Блгородица 12 3/4 х 16 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_smouUTmZ3PwbCwLX0x9kCLYa4qQ61POmKeOGoAqTsSD9GzEKPpH0ag=="
"Богородица (Афонская) 12 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_NHU2ihafXiGf7VZzKFpBkfmE3sVVRDuehqZLubjH67vp9FD1ICmTaw=="
"Богородица (Владимирская) 9 7/8 х 11 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_aJ0RvIpwr1jTeeTvmXcO4R2Qu4Pj616ySOgQqjXV-KjiFlCADDb9aQ=="
"Богородица (Иверская) 25 3/8 х 32 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_aoIldBKiXEeozUgwFxiVxBrKIiSMherJuN3yg3ctehEY4r98yIJgeg=="
"Богородица (Прибавление Ума) 8 5/8 х 11 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2__Lfy5t1ETVjrncJUcVjLdX9bl6RgyFERvE-yZCBu-G7gF8jKItm8KA=="
"""Богородица (валаамская, в кивоте) 8 1/4 х 13"",Item,https://lnk.sortly.co/v2/downloads/photo/v2_Buy9M1_LFcx0NxsH12gEPfDiSsgqg2kPEp4zYNdZPwXP0myjoxKmrw=="
"Богородица (грузинская) 8 1/2 х 11 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_A9hJNk3TOhhRaPnI0Z7-5nZpL_ejgKXpmqnXFrcTLGRzZfhmu5YPTg=="
"Богородица (сребро) 9 х 10 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_p4Nn96ENpkvOSwCtMF7GUwrr7lvqa_MAK1hv-aKcjKJwKkwrq5ojPw=="
"Богородица 10 1/4 х 12,Item,https://lnk.sortly.co/v2/downloads/photo/v2_TGBroFW0R4i3Jr0cBiXTZ1F9WN05Hgo1swb5Gr0SslHxahbaSEG5LQ=="
"Богородица 10 1/4 х 13 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_9EgQ9bbWO-dAdzR2AuGxFZRvr_gvd4SFBdcqSOE3Ns7JRA5o64M9nw=="
"Богородица 10 х 13 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_EGhTncwQVugpxL4elko3hTphWhV8JUmxskCGFXm9ZhrU2R4teXmthQ=="
"Богородица 10 х 13 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_ArMGyI-2cFWAYPRn73m41jHLqoULKrCiWtCHrxitFH1b9fyWL2V4Og=="
"Богородица 11 1/2 х 31 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_MjLx_1BSR_FJjcGBAJvOyROkxPthdBJY62RLXrLJQF9rJ55yyithow=="
"Богородица 11 3/4 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_PucowlcV5gYYkqm8t5-foa9CnKFdMQvFfqWyJXs8_xCPfIBfPnRArw=="
"Богородица 11 3/8 х 13 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_hbRlzhk5oIGu7DHh3VQXg6acg6rlW0JnllIR5VcemwOqMc9v6el1zA=="
"Богородица 11 х 14 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_XiIYRkkOJMhgT5FvUV4klOWAZ_QQhFTYMqGfoT8BEH6oUzDg0bqKMA=="
"Богородица 12 1/8 х 13 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_fNRiJWXNq5i3v1IvLf8XPBp2gm7FQWSv5UTj4tQ2JZheZvBO-D0F4A=="
"Богородица 16 1/2 х 19 1/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_H1dG2TNrpc-3OJrYGneaHFudQ_ihOPY57KGMG_CMKLGLoPnpB7j0_w=="
"Богородица 17 3/4 х 21 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Bs20oIMBc4lsJ_DtAaSgRryr-w3g4OC0i0uyfFCls8a5ULzjjqOG-A=="
"Богородица 22 х 26,Item,https://lnk.sortly.co/v2/downloads/photo/v2_jgyBWOVBrE0ImNBKWXywtvtCqXsuVX1CGpbzL08IrjsgQ7q6YpgYdw=="
"Богородица 5 5/8 х 6 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_s7UIrXWbgADK34KH0ms4sPJhiZrqeEEa3BbHOMlhKqnNCZzbY28K7w=="
"Богородица 6 1/8 х 8 3/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_B_AZY6bYaNYgJt8NimW2UBE0QVmQdRy2dZdMXNPSXdNYwpFE3Y2n4w=="
"Богородица 6 3/4 х 8 1/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_nvDDS77Go_wE7JZbzMBIWczXVkVSJEhld2__k-ZCoUwED1dU3AANLQ=="
"Богородица 8 х 15 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_zQHGLU4vzu56pqSpwKjh0Gqf1Vw62_qr4Abd1hsRz-mynUJyJ-V-kw=="
"Богородица 9 1/8 х 11 5/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_i-BBQGcp8rlgrqw2tXKDDUebnl5oNP5ALdR_SFOCbd3c7-3UyDPxzg=="
"Богородица 9 х 12 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_5tWi_VKoZDv7RUx3ojquOZBKERNn6FzO-kh4v3OFzo8cb5VDzP6_tQ=="
"Богородица Владимирская 13 х 15 7/8,Item,https://lnk.sortly.co/v2/downloads/photo/v2_YYJk3HRYFbAihvth2gzdwkFVxjmhk4WNmVyHMaVybU2QVqvU2FIIZg=="
"Богородица Почаевская 12 1/2 х 14,Item,https://lnk.sortly.co/v2/downloads/photo/v2_snIacsQjETndRDEsfp_pKjVU3aHG03F2SQLw2BRuN_4M1jQcM-ZW_Q=="
"Богородица семистрельная 13 х 15 3/4,Item,https://lnk.sortly.co/v2/downloads/photo/v2_Klz4KKM4UIuIylhMr2C3aVGBs6s0XMCGYZaZCXirPtU2udk7EFPeLw=="
"Валентина 11 1/4 х 14 1/2,Item,https://lnk.sortly.co/v2/downloads/photo/v2_G9PWq7i4yk7qcKnnuBpP3rjVoNSx5vgaBuJYC2Bn4OIWOjzNBP-39g=="
