Entry Name,Photo1
Авва Герасим 7 1/8 х 9 1/2,https://lnk.sortly.co/v2/downloads/photo/v2_h3isFg25iJyQfOuxF3ROyEsvIObFmPIbq91ehjKeDsH9_8xr4jTeRg==
Александра 4 3/8 х 5 3/8,https://lnk.sortly.co/v2/downloads/photo/v2_fIfj1W0BkAb2TiV8t3sChByUEcw6Gi9BpFQuQtjBKaW2VCPkQ0Crpg==
Ангел Хранитель 14 3/4 х 19 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_JitjrBpp-mwCLtH8wnyTRp4J2_xN9f0S-0vQMe8UHWwfIFr3NAyCqw==
Антипасха 10 х 10,https://lnk.sortly.co/v2/downloads/photo/v2_1pyZbiOx0harZ5CXnuNzS6rBMPP0o7A0v_DILY3LkuHLt65dNlVK6Q==
Антоний Великий 9 3/8 х 11 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_3j3E3CUoI4J8sfGSHdVbkLaCSPTL9YxM09K0RcvkDgOPva6V2opFRQ==
Арсений 4 3/8 х 5 3/8,https://lnk.sortly.co/v2/downloads/photo/v2_km3CftQ0cONwiiEnJfk9-j7VAcDd1wWZNdYIiDTQ00bvxRlkJUo_Vw==
Арх. Михаил + Св. Аликсий + Преп. Марфа 10 х 12 1/8,https://lnk.sortly.co/v2/downloads/photo/v2_VNfJyXkLCS0Nc3MUwpH7BR3OJfpoBoO3LA9cFCgLMJWVsSry58tBdw==
Архангел Гавриил 8 3/4 х 10 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_97HdfBpBVY-ZFb11OfF6vKQdgvf2kCKOacNMJ4sQ64VyjcoXfq_YlA==
Благовещение 12 1/2 х 15,https://lnk.sortly.co/v2/downloads/photo/v2_KqG_PQI_SbLh5tIOSspQp9uF4LZQd7n3kRBT5iaioDa2pxFlmTiZ2A==
Благовещение 5 1/4 х 9 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_5Rz1-qIXaQkdalngPEiedwV-lNHPoADybAPCuSvvkAhoRwWZr1jPxg==
Блгородица 12 3/4 х 16 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_iPLqzSNyQsSH4C1aV4KkiKk2yWBUqDn_C5noUIGxpaJMAJVP_1N3ug==
Богородица (Афонская) 12 х 15 3/4,https://lnk.sortly.co/v2/downloads/photo/v2_M1IQo2dElh5inVFurdt3g57wBejCZzTi8tRK8LiBN7VnEtm3-Opgzw==
Богородица (Владимирская) 9 7/8 х 11 1/4,https://lnk.sortly.co/v2/downloads/photo/v2_B5B_pcEwmpfNQoc8Ueh-GkolxDhVfzyUftUuiPUNpnInHclDUHbNfw==
Богородица (Иверская) 25 3/8 х 32 5/8,https://lnk.sortly.co/v2/downloads/photo/v2_4AJHVAZ4PItSFQW_a_EawULAYJ13VQwkbMlyLUmZ8RvehfHjndjyZA==
Богородица (Прибавление Ума) 8 5/8 х 11 7/8,https://lnk.sortly.co/v2/downloads/photo/v2_9HGz7BNFe6E_tIOSTqDf3RvQtn3vyuX-ukqWsm0NhBg6mRyem7ZYAg==
Богородица (валаамская в кивоте) 8 1/4 х 13,https://lnk.sortly.co/v2/downloads/photo/v2_IHAykVHP4dZZL7NskFD5RynKNPLYRRIn3u_z1bpnVnNDr0fi8D7l6A==
